,Customer Name,Review Title,Rating,Reviews
83,Amol Takale,Not satisfied. Compulsory Wifi required to rec in card,1.0 out of 5 stars,  Not good product. No manual recording is possible on SD card.Compulsory internet connection is required to start recording on SD card.Need to reset the camera multiple time to connect after disconnecting from wifi.QR code is also not generated and scanned efficiently.  Takes time.Overall bot satisfied by this product. Manual recording should be allowed without connecting to wifi.
84,MAHESH,Features and suggestions,5.0 out of 5 stars,  This Wifi camera has amazing picture quality but show a few second later.This product is economy friendly and best quality product in this range.This camera not have battery backup. So during power falier we can't able to check video.I suggest to company please add power backup feature in it.Please provide some cloud storage.Because some time thief/stranger take away this camera we can't check footage
85,Arjun,Good product.,5.0 out of 5 stars,"  Used this product for more than 2 months now. Good product for the price. Motion detection sometimes shows false positives and doesn't show certain motion by specific people (which is very weird). However, all video being captured, you can always view it later and identify any motion/movement.Night vision is decent. The call function works well, as long as you have a decent internet connection.If possible, periodic automatic swivel of the camera should be added. That would make this a great product at this price."
86,drcdk,Amazing essential every living room needs it,5.0 out of 5 stars,"  Great quality product, very good packing ,once paired with the we code it works great , auto re connects even after power failure , motion detection is good,night vision is amazing,no need to worry , always can have a watch on your loved one, no need to worry about your family when you are away , good connectivity , one can use even without a memory card because it uses the cloud storage unless you need long recordings , only con is no other colour available would have loved if it's in black or brown to suit the room decor"
87,Navin Abraham,Good camera for the price,5.0 out of 5 stars,"  For the people who are having trouble getting the camera to detect the QR code on your phone, try reducing your phone's display brightness. It easily detects the QR code then. (do note that this is true only when you are indoors under normal lighting conditions). Another issue that I faced, and took 2-3 hours to resolve was during the next step - connecting to my home WiFi. The process would fail each time showing the error message ""Bring device closer to router"" although I had kept the camera right next to the router. I was on the verge of returning the device, when suddenly it struck me; I had been entering the wrong WiFi password. When you are trying to connect the camera to your WiFi, the app does not inform you that the password is incorrect if you have entered a wrong one. It simply says that it failed to connect. So we need to always figure out what could have gone wrong first, before giving up. Now after the successful set up, I'm not facing any issues. I will update the review after a few months."
88,Amazon Customer,Insufficient product information,4.0 out of 5 stars,"  The camera is ok. The product shld have guidelines on the type/speed of wifi connectivity required to operate this. Without a very strong router & high speed internet (80 mbps & above) the camera does not work. So though I have bought it long back, still unable to use due to lack of high speed wifi connection & suitable router."
89,sreeya,AFTER WARRENTY NO SERVICE ..... FOR Mi MJSXJ02CM 360° 1080P WiFi Home Security Camera,1.0 out of 5 stars,"  I purchased it in MAR'2019. PAST SOMANY MONTHS ITS NOT WORKING TODAY I WENT TO  SERVICE CENTER  AND U/STAND THAT THIS CAMERA COMES UNDER ACCESSORISES CATEGORY, SO IT CANT BE SERVICED AFTER WARRANTY PERIOD (I.E. 6 MONTHS )  I  AGREED FOR PAID SERVICE SINCE IT IS OUT OF WARRANTY.IT IS VERY BAD ON THE PART OF THE MI, SUCH A reputed brand is not giving service after warranty.....in this case it is not advisable to buy the product from MI.... ITS waste of money......"
90,Ankur Bhardwaj,The product has stopped working within a month,1.0 out of 5 stars,"  I have been using this product for about a month now and everything seemed to work fine. However, few days back the app has stopped buffering the live feed. I did hard reset, reinstalled the app and the problem still continues. I contacted the customer service but they gave me to cover the same steps which i already did. Now, have to replace it via customer support."
91,Siddharth,Exceptional home security camera.,5.0 out of 5 stars,"  So, I bought this product as it's holiday season and we'll be out for some time. I wanted a home security coverage and the ones with DVR were proving to be costly (for home), so here we are.There are very race occasions when I buy a gadget ( I do buy a lot) and is appreciated by my wife, otherwise it same as usual 'was it necessary' line.Having said that, the camera is still exceptionally good, the setup is gas and within 5 min you are good to go. The app is well made and has clean setup. Camera design and form factor is above oar than test of the competition (CP plus).It takes clean and clear vid with motion detection. The notifications are almost simultaneous.One area where I encountered problem was (no fault of the camera). The router had to be with WPA2 minimum security and not WEP. The camera will not latch on if the security settings of router is low. The security of the router can be upgraded with minimal effort from browser (YouTube vid are available).Other than this I encountered no problem whatsoever (including as some reported facing problem in scanning QR code). Top notch worth every rupee.May not be water proof, haven't checked that out I am using it indoors.Additional storage is required (max 64 gb class 10 SD card).Overall a lovely product and a great buy.The delivery of product was on time and we'll packed. Good job by the seller and Amazon logistics."
92,Adnan,MI Camera doesnt connect with Samsung Phones.,1.0 out of 5 stars,"  MI Camera is not compatible with Samsung devices. I have got Samsung Galaxy S8 and the device cant connect with it, it connects with One Plus devices though. It seems MI did not do proper testing with major phones like Samsung Galaxy series before doing the commercial launch. Even a 77 MB MI Home software was shown as 90 MB in Samsung device i.e while downloading it said downloaded 90/77 MB, which is more than actual software.  If I cant connect my S8 with MI camera and MI Home software then whats the use. I need support on this."
93,nitin,not trustful for sensitive location,2.0 out of 5 stars,  Good partgood picture quality and look in ideal conditionsworst part1.frequent auto logout of application2. device auto unregistered from the application. you have to again configure it .i have purchased 5 pieces and need to reconfigure almost every week .have no clue why?3.you can't connect it with your big screen4.internet connection is must.5.user manual never tells you that what should be the exact location to installed it.every time power goes it will move to its default locationseems these are not made for outdoor purposes.
94,prasenjit biswas,Good but NOT the Best. features missing,3.0 out of 5 stars,"  Like1. Picture quality is good.2. Setup and installation is easy.3. App has good features.4. Video compression is good which takes less memory.Dislike1. Each video recording is of 1 minute only which is really frustrating to watch later.2. You need very good internet connection to watch live otherwise it keeps on buffering.3. No facility to watch on computer. You can only watch through mobile app.4. If its connected to Wifi A and if you want to change to Wifi B, you need to press reset button on camera which is inconvenient depending on your installation.If you want to buy it, decide after reading all its cons which can become headache later. Otherwise some lesser known brands has more complete features."
95,Rajnish,Excellent security camera,5.0 out of 5 stars,"  Pro's:Easy to install.Easy to connect.Clear voice during talk-back.Nice, clear images and videos.Coloured video in low light also.Good, clear night vision with a good range.Excellent motion detection.Easy to control through app.IR LEDs are not visible to naked eyes at night so the camera can not be spotted in the dark.Con's:Repeated motion detection notification cannot be set below 3 minutes. So there is no repeated motion detection notification for movements in those 3 minutes.It would have been better if it can be set to 30 seconds, or atleast 1 minute.Overall, an excellent security camera."
96,Cenosure,Steal or Neel,3.0 out of 5 stars,"  After reading all reviews carefully i thoght to buy this product to detect stealing activities often happening in my flat. For few days i was worry free.. but then i realized, irrespective of gud vision and detection technique, there is a big flow in the camera.. anyone with MI account can add this device without my permission and can control its detection accordingly.. there is no device level security which can stop un-authorized ppl to use the same for security compromised.. also the best part to deal with a cunning thief is that.. either of wifi or electricity hindrence can easily disable the camera.. there is no battery backup designed.. so i decided to took a bit different prevention method"
97,Anupam Thakur,Very happy with the product.,5.0 out of 5 stars,"  I love this product.It is easy to set up using the app.Easy to add SD card.Good video quality.Very good sound quality(microphone ) .Small in size.Multiple person can watch and control the camera if access give.Very good motion detection.Very good night vision.You can't talk through camera (feature as mentioned by the manufacturer), but this feature is not needed in the camera."
98,Pompi,MI 360° camera is superb,5.0 out of 5 stars,  This is an excellent product from MI. The plastic/pvc material used is rich enough. Lookwise it is flawless. It serve the purpose of close-circuit camera. No need to put wires throughout the wall and also no need to buy DVR for storage. Only you need to have a broadband connection. It would be difficult to connect thru jiofi or other wifi dongle. So if it is connected thru broadband it will give a superb performance. You need to download Xiaomi Home from play store to establish the connection. All you need to put a micro sd card(64 GB) to store the viewings. Alerts will be sent to your mobile whenever any motion occurs in the vicinity of the lens.It has serve all my purpose of CCTV camera. No need to spend 15000 to 20000 Rs anymore.
99,Tajammul,"Go for it, worthy of every penny spend.",5.0 out of 5 stars,"  Okay folks, writing this review after almost 3 weeks of usage.First thing first, this is indoor cam needs WiFi and power plug (USB power is also fine) and a Mi account for proper functioning.Here it's ok important info:Want to use in multiple phones with full control, just use the same Mi account which was used for installation.There's a share option in the app, which does not have a full control on the cam.There is a 2 way communication also available, need little improvement.Overall fully satisfied"
100,AJAY EKKA,Lovely product for home,5.0 out of 5 stars,"  This review is after 5 months of usage.The product quality, picture , videos and server NAS storage on cloud. Everything is amazing. This is the best Mi product i have used. Recently i bought the second one too because its affordable. Only thing is you need a wifi at home with unlimited package as it consumes good amount of data when put on 24 hrs survillence. There is one more feature sleep mode you can put time when it will not record."
101,Bandi,"Excellent cctv, been looking for long time. Loving it",5.0 out of 5 stars,"  I fixed this on my desktop to watch my family as most of the time I am at office. Motion detector is too good. It even triggers if mosquito flies near camera. 2 Way speaking is superb. Picture clarity is Excellent. Its the best. Only drawback,we cannot watch via computer. Its very secured. Not possible to hack in as you need to show the bar code reader next to camera from mobile to install."
102,SOnal Babre,Nice product as a home CCTV camera.,5.0 out of 5 stars,"  I am very happy with this product, it'd perfect as a home Cctv camera. All I had to do was down load mi home app, add the device to the mobile app, connect the camera to charger, then to WiFi, and scan the qr code, that's it. The picture quality is very clear and night mode is also clear. The only hind side is you will have to plug in the camera till the time you want recording and the device needs to be close to router- WiFi. Over all I am very satisfied with the product."
103,AP.Singh,"A must have for your valuable home & family, great quality at great affordability",5.0 out of 5 stars,"  Great image quality 1080P, happy with it.. Well designed , looks and feels superior compared to others..Doesn't make any sounds while moving camera left/right or up/down while monitoring through the app.Easy & slightly tricky too at the same time to install, procedure to connect is easy but the app is funny.ther issue faced is that I couldn't share the camera through the a""pp share function"" easily with my family so that any one could monitor when needed. It took a while to some how get it done and you also need to approve the rights for others to hear and speak through the camera.They need to fix this to make it perfect !!While monitoring it reconnects automatically if disconnected and has the time running on the upper left corner which indicates its actively running n connected,its quite tiney though but okay.Happy & disappointed..Happy with the quality from A to Z ""Build/Image Quality"" as well as the microphone & speaker are loud enough & the image quality is great too whether day or night.DISAPPOINTED - with the app !! Tooo confusing for the most simplest of things & though the image quality its great it lacks contrast in night mode if the camera is pointing down completely while placed on a hight then its own body reflects of the INFRARED creating a slight contrast issue so best is to install camera vertical on wall for quality image.Its a 5 star for me overall otherwise for me a big fan of MI products already own few WIFI Bulbs and Air Purifier which are awesome."
104,NEELESH 17,Go for it..... Excellent,5.0 out of 5 stars,  Best camera for home monitoring
105,Sundeep yadav,Good product,4.0 out of 5 stars,  The overall performance of this product is good.Pros : Good picture qualityLong usb cable - 1.5 mtrAuto switch to night vision camera.Can monitor from any part of the country with a good wifi connectivity on both the side.Cons : No Ip rating that is ; Its not a waterproof camera to use outside.Very late notification for motion detection.Once you turn the power off it switch off too you cannot view through app during power cut.Only 68 gb memory support.
106,Manoj Nair ,Excellent,4.0 out of 5 stars,"  Its been a week and usage experience is excellent so far.Haven't been able to check motion detection and playback on app isn't working either, despite having a memory card inserted in it.Probably need to know/learn proper usage of app to get the playback working.Wish to hope movement of camera stays the same post usage of couple months, without any trouble."
107,G BALAJI,Quality,5.0 out of 5 stars,  Quality is very good brand warenty easy to use and i thank Amazon very much because i first ordered one MI 360 camera which was mic not working i raised for replacement after two days i received new product and it works fine. I once again thank amazon for quick replacement. Thank u Amazon..
108,Calvin Nirmal,No value for Money and time,1.0 out of 5 stars,  Got the camera with good packing & condition.But the camera couldn't scan the QR code. I tried for almost 1 day. no use. i returned it and got replacement. but the same issue.This is simply waste of time and money. I suggest not to buy and waste your time and money.No customer support.
109,Paranoid Android,"Great for baby sleep monitoring, awesome  middle class fancy!!",5.0 out of 5 stars,"  It has made life so easy especially when you need to look after your kids or pets while working. Having the SD card tucked beneath the lens is quite neat. You can keep a watch and it's portable enough to be moved from one room to another. It can also be mounted on a wall vertically if needed which is a +.I'm very happy with the purchase. No matter what people say, Xiaomi has indeed brought in a lot of accessibility with their products in India. Last decade now seems like dark ages with so much tech available now a days."
110,Kiran,Super Easy Super Cool Worth money,5.0 out of 5 stars,"  Super Easy to install and operate... impressed with the product design n qualityOnly down part is the Voice Call feature -speaker is not loud enough to operate at highest output in outside conditionsMic is super sensitive, and we can clearly hear the outside sounds...Definitely a Go for it,if you want to make your home more safe n secure"
111,AD,"Good quality picture , easy to use and worth in this price",5.0 out of 5 stars,"  Good quality , easy to install and very easy to sync with app.thing which I need is1.power backup.2.Once sync with one system or account , then there should not be easy way to use by other, so that no one can alter it.3. Camera should move to direction where it listen sound (if install properly) , current you can move 360 degree and approx 35-45 degree up and down it using app manually.4. Please provide some accessories for hanging it outside in house corner and edges so that it can cover both direction."
112,NIMT,Extremely frustrating after sales service = NO SERVICE,1.0 out of 5 stars,"  I had purchased this camera on 17th Feb 2020. My camera stopped working in the month of June. I raised the issue to Amazon and they told me to contact and I did the same. When the camera was sent to the service centre for repair/replacement it was not even checked on the pretext of not carrying the original box. I have the original accessories, invoice, warranty slip and even order summary. But MI says all of these is useless as the box is not carried. Raised the issue to the customer support through email as well as call over 15 times and this is the response after a month of follow up ""I would like to inform you that your complaint WOIN20200713000085 was escalated to the team and this has been updated from the team side that we want a box of MI HOME SECURITY CAMERA 360""MI has once again proven that their after-sales protocol is not customer friendly. Nowhere at the time of purchase was it mentioned either by MI or Amazon to keep the box safe in order to avail the warranty. Nothing was mentioned on the product page, invoice, box or anywhere else then how is it the customer's fault to not keep the box. Even after having the Invoice, Warranty slips the box is an excuse to dodge a small warranty complaint. So yes the review is simple, the product is fine but be ready for absurd excuses when the time comes for after-sales services by MI."
113,Sri,useless for me,2.0 out of 5 stars,"  The camera may be ok, I dont know because I couldnt even install it.  It requires atleast two smart phones one to scan the QR code and another in which wifi communication with camera is done.  I dont have wifi except hotspot and I have onlly one smartphone.  I dont know why company's make so sophisticated things that they become useless unless you have all the accessories beforehand in your house."
114,Chandrashekhar Kurre,Awesome For Indoor,5.0 out of 5 stars,  Camera is good for indoor Home security beacua it is not water and dust proof. But you can use it for outdoor purpose if there not water contact directly or by any mean. Outdoor its function is also good and 360 degree view is brilliant but need is aided precaution like covering by plastic or glass jar.Two way voice connectivity is good . Night vision is brillient .Voice recording also do not disappoint you. But online monitoring requires good internet connection.
115,Amazon Customer,Great camera. Easy to setup and share device with multiple family members.,5.0 out of 5 stars,"  Great camera. Very easy to setup once you install the mi home app. Needs constant power supply and internet connection. You can share the camera with family members. Allows you to remotely watch the video and monitor. The camera can be controlled remotely from the app, allows for rotating the camera 360 degrees horizontally. Has provision for inserting sd card to record video which can then be rewind and played (through the app)."
116,Optimus,Excellent camera,5.0 out of 5 stars,"  Love this Camera was a little ify some reviews said intercom was not good.. But I guess I lucked out and got good piece it works great. I have it set up at the shop I can communicate with my employees great, good picture quality.. I would buy it again in a heartbeat.. Definitely a bargain compared to the cctv camera units. 64gb card records for a week. Excellent for small businesses"
117,prashant V,Value for money,5.0 out of 5 stars,  It's class product.  It gets easily connected with app. Follow all instructions on app n it's ready to use.  You all need Wi-Fi in home to use this camera n to access it from remote areas where u need to just on ur data on Mobile. Mi home app is user-friendly n it's good product in low price. U can connect more cameras in different locations at ur home offices using single app.  U can share ur live videos with another mi app user.Go for it no need extra HD n any other device.1. Camera2. Active wify3. Data in ur mobile.Best product.
118,Vitthal kumbhare,Mi CCTV camera,1.0 out of 5 stars,  The camera is not connecting to mobile and error says as connection timed out.
119,Siddharth Jain,Three Big Issues because of which I returned it,1.0 out of 5 stars,"  Three big issues with the product1. 2 Way audio sound from the device is extremely low. Even if you stand next to it, you cant hear it.2. It cannot be connected to an external service for recording. Only memory card3. It does not have motion tracking i.e. if the subject moves from left to right, it does not move along with it."
120,Vinay Hatwal,Super amazing IP camera with this price range,5.0 out of 5 stars,"  Truly speaking, I have searched a lot of IP cameras for my home, but finally I have chosen Mi MJSXJ02CM 360° 1080P WiFi Home Security Camera (White). This is really a terrific product from Xiaomi. I think you can trust on this product otherwise I have also read that these cameras send the information on some overseas locations as a spy. I am using it may be from a couple of weeks and till now this is working perfectly. Here is some valuable information about this product.Pros-------1. Beautiful design like a toy. you will love it's design.2. Compact design, small in size in comparison with other cameras.3. Two very good quality of motor to make it rotate.4. Almost Silent rotations.5. Very easy to connect.6. Very good picture quality.7. Call back feature.8. Night vision is extraordinary, Clearly visible in a deep dark room.9. Play back feature with the live footage so that you can view live and old recording from the sd card on one screen.10. A very good application to handle the camera.11. App is able to create smart scenes perfectly.12. Motion detection is really very good.13. Password protected.14. You can share this device with your family members.15. You can access the camera from anywhere in the word if your local area network is connected to the WAN.16. NAS (Network-attached storage) is just wow. You can record your footage on your network.Cons (But really these do not impact much.)------1. The power cable is micro usb cable and can be easily detach with the camera. However it is an advantage but a disadvantage too if you are fixing the camera outside of you home.2. The thing that I miss with this camera, is a windows/mac application where we can view the camera on our computer's monitor. Hopefully Xiaomi will provide it is future.3. A very bad thing is we can only view one camera at a time. It would really be good if MI can provide multiple camera view on a single screen (Some camera's apps already provide the same feature).4. No RJ45 connectivity, only WiFi.Overall the camera is really a good option to buy. It has all the features that no other single camera provides. Go for it without thinking. Value for money."
121,PB,A good buy,5.0 out of 5 stars,  A good buy. Got this to stay in touch with my old parents.++Picture quality is good.Light weightsimple to installSupports multiple phones to connect- -Voice calling is not too great.Motion detection takes 3 mins or more to update u. This can be improvedStill need to check night vision. But don’t expect too much hereIt’s been 3 days but so far it seems good
122,Harsh,Awesome product,5.0 out of 5 stars,"  On youtube some guys are not liking this product, but let me share the feed back. I am using this product from last 7 days and no issues at all. Camera build quality is prefect. day and night vision is awesome. This is only for home inside use not for outside. I will recommend this camera to all the amazon members. Please check settings as per your requirement you will get all the options. Soon I will update the pics as well and update the video on youtube"
123,dhiren,Not Working,1.0 out of 5 stars,"  I opened the box, took out the camera, powered it up, it started rotating and then it started talking. After that the yellow light is on and can't connect.  I cant reset. Every time i turn it on the yellow light is up and constant."
124,S. Shastri,Not reliable,2.0 out of 5 stars,  Have been using two of these for some time. There are times it won't connect even though there are no issues with the internet At other times when you want to look at playback will say Rutgers is no card to when there is and after sometime it will go into playback. I don't recommend this camera as it is not consistently goid
125,Arvind Gaba,Excellent Product,5.0 out of 5 stars,"  Never imagined that CCTV can be of this good quality. The phone feature is truly amazing, can talk to anyone for any long. Can be used indoors, the Network Attached Storage (NAS) is a very smart option. The quality of the video is very good. If there is any way to enhance the audio quality, it would be a great experience."
126,Amazon Customer,OKiish,3.0 out of 5 stars,"  To be fair this is the cehapest 360 camera and it works kinda ok (just ok )After 4 months of use in winters the cameras stopped working ( I bought 3 and all stopped working like they won't turn ON)But as I said you can't buy anything this cheap but yea I kinda had that feeling that it won't be very good becuase it's a Chinese product LOLPros:1.)Nightvision is quite good2.) It's wireless and you can watch it live on your phone if your connected to the same wifi ( it doesn't use internet though it's just for mi account login but you still need internet to view it )3.)Cons:1.) Camera quality sucks for a 1080p camera MI should stop flexing about a 1080p resolution2.)Frequent switchoff randomly3.) I was hoping that I could somehow connect it to another spare wifi i had lying but i couldnt ,it still needs internet4.) There are no updates from MI and there are a lot of bugs in the MI home app"
127,Sankar,only black and white video,2.0 out of 5 stars,  This was the second camera that i purchased. First one works properly.This one records video in black and white.  Need to get it serviced to fix the issue.
128,Aditya Saxena,Review after 2 month's of constant usage.,5.0 out of 5 stars,"   Guys have a look at the video that I have uploaded, you will be very clear on your decision to buy this camera or not."
129,Deepak Arora,360 degree with excellent camera quality. Two way sound and playback makes it extraordinary.,5.0 out of 5 stars,"  This camera is the best in this range. You will get recording saved for each minutes and also you can playback the video in one go for any particular period. Using 64 gb memory card I can save around 7 days video. The video quality, night vision, 360 degree rotation is great. Also it is not waterproof but I have got it installed outside and the heavy rainfall did not have any effect in this I am sure it is durable. Also using NHS I can save all the videos on laptop it just needs to be connected using a same wifi."
130,Kritesh,Perfect Security Camera with some Minor issues,4.0 out of 5 stars,"  The camera works perfectly. You wont get a better security camera for this Price.The setup was hassle free and I had the camera up and running in less than 5 minutes. Wall mounting was a piece of cake too.The video quality, talk back feature ans night vision all work seamlessly. I have connected the camera to 3 phones at home and again, the setup was just perfect.However, one issue I have with the camera is delayed notifications for any movement detection. Sometimes the notifications come as late as 6 hours. This defeats the whole purpose of motion detection.  I dont know if this a camera issue or wifi issue (I am using broadband and have had no issues with speed or link).Other than this issue, I am completely satisfied with this camera."
131,Sebinraj.C.A,Good product but still need some improvements,4.0 out of 5 stars,"  Good product. Best quality videos.But the videos that records automatically and stored in the SD card last only 1 min. After 1 min another video will be saved. So in 1 hr you will see 60 small video clips. It would be better if it can record videos for 1 hr continuesly or any setting to change the recording duration. Even the customer care at MI doesn't know much in detail about this product.Other than this, the product is really worth buying. Amazon team supports very well."
132,Devraj,Amazing product with few important improvements,1.0 out of 5 stars,"  There is a Big concern that how we can retrieve cloud stored recordings in case of theft, this camera was only recommended caz it had monitoring feature but i have found that we can only view the recordings only when cameras are online but in case of theft that won't be possible.It's been more than 16 weeks now (edit and added above section) since I have received this, Product is good for indoor usage.Picture quality is goodProduct app is goodRecording facilities availableIssues or improvementsMotion detection is too sensitive even it gets activated when a fly goes around.2) They need to improve two way talk back .. better provide a Bluetooth speaker support so that voice can be communicated via bluetooth speaker.Update after 2 month :I feel MI has improved the Talk back in recent software update .. Still waiting the bluetooth connectivity with Speaker..I have also installed sd card and woow .. I can access my SD card video as well make the camera to store videos over cloud using surveillance mode ... I am not very sure how long the company keeps video recording on their servers ..Thats Still a open question and concern."
133,CheMah,WOW... that's all I will say,4.0 out of 5 stars,"  Congratulations to MI tech team of having such a wonderful product at such a reasonable cost. I am quite please with everything that MI camera offered. Reducing one star only because it did not provide a wall flexible angle to fix in the wall. The key good things to highlight are1. Quality of the camera is excellent. It feels very sturdy2. Camera look and feel is sleek3. Camera quality to  distance of 20 meters as well is great4. Camera can easily be operated on the app5. The app features are simple to follow and provides great features to watch playback, sleep mode, motion detection, video quality settings, password protected app6. Storage could have been a bit more then 64GB as storing for atleast 20 to 25 days is needed7. Ease of installation8. Packaging was great and showcases product qualityThe next thing thAt MI team should focus is battery operated cameras which can work by charging the battery like mobile phones and hence will not require any power to function.Recommend anyone to just blindly go for it as you won't find anything comparable in this competitive price range."
134,Amit Arora,Impressive home camera useful,5.0 out of 5 stars,"  Impressed by the usefulness of this product , I really like this product and found this useful in too many ways. A good way to watch your kids at home when the come from school. This camera can rotate and provide almost a 360 degree view of kept at the centre of the home. The camera has a good recording capacity and the image quality is good. The night vision is awesome."
135,Amritanshu Tiwari,High internet speed Requirements!,3.0 out of 5 stars,"  Although its a good product in terms of picture quality considering the price point. But it becomes useless for me because it needs High-speed internet connection for the playback of past recordings, and good internet services are not available in my area as of now that's why I have returned this product. So if you want to purchase this camera first of all check the speed of your internet service provider if it is good then you can buy this camera this is one of the best CCTV cameras I have ever seen especially its pricing is very aggressive."
136,Ajay,Great Camera,5.0 out of 5 stars,  Excellent performance with nice picture quality. Though I wanted a concealed camera but nothing suitable was available so i bought this. Other than the hidden feature it does an excellent job. Best part is everything can be controlled from an app from anywhere even managing the storage space on SD card.
137,JOYDEEP CHATTERJEE,A must buy if you have kids at home,5.0 out of 5 stars,  Extremely good product with ample functionality.Picture quality is so so and motion detection notification comes with a reasonable lag.Also there is no cloud option where you can store your recorded videos and customer helpdesk is pathetic.
138,Amazon Customer,Inexpensive quality product,5.0 out of 5 stars,  Never imagined that CCTV cam was this much accessible easy to install n use on mobile app. You need to have high speed mobile data or wifi to use it. Very clear live vedio even if you are out of the country. Clear quality night vision.360d rotation when installed upside down. 3 users can access directly.
139,Himanshu,"Best Smart Security Camera, Value for money",5.0 out of 5 stars,"  I have used multiple security camera's and trust me this is the best security camera. Value for money.Here's my honest feedbackPros:1. Best part is you can talk back, during Covid 19 pandemic it has really helped me to manage my shop. I can simply tell my staff what to do with the live view. It's like a 24X7 Zoom call.2. Night vision mode is amazing3. Offers 1080p picture quality which is really sharp and clear4. Works really well with Alexa and Google assistant5. Best security camera app, very user friendly and has great user experience6. Easy to install, It literally took me 2 mins to setup7. 360 degree rotation works really well, there is no lag as compared to other security camera's8. AI motion detection works really good, it has no lag as compared to other similar camerasOn product page they have How to setup videos and PDF file which is really goodCons:I really don't think this camera has any cons, it does what it claims. I think they should bring some additional features like cloud storage. Hopefully they'll bring it soon as they already have it in China.Overall, This security camera is best in class and is really worth every penny."
140,Sagar B,DO NOT UPDATE THE SOFTWARE IN MI HOME APP,3.0 out of 5 stars,"  One very important thing.DO NOT UPDATE THE CAMERA SOFTWARE VERSION AFTER YOU GET AN UPDATE FIRMWARE MESSAGE. IT WILL BRICK (LOCK) YOUR CAM AND MAKE IT USELESS. The cam gets stuck on orange light and does not respond to even to reset. The only way to unlock the cam will be to download a specific file, put this recovery file in the sd card and then start the cam to unbrick/unlock it.So do not update the cam software."
141,Amazon Customer,Best in class,5.0 out of 5 stars,"  Very easy to configure and use. Clear picture and sound. The two-way calling feature with voice is awesome.  The rotation feature works very well to scan the room. Mi Home app is quite good and secure. Works well to stream the video even on mobile data. I'm using a 16gb SD card with the camera and and external 16Gb pen drive attached to my router as secondary storage. Works perfectly.Just wish the camera came in black also, but not a big deal."
142,Sunny Unni,Excellent but some compatibility issues with Dlink routers,5.0 out of 5 stars,  Worked perfectly at my home with my ASUS router. Sharp picture Clear audio and very intuitive app. The next day I took it to my office where it was intended to be installed and it just wouldn’t work with my Dlink DLR842 router. So please be careful of this. There are some compatibility issues with Dlink routers. Otherwise it’s a very solid product.
143,hsvijay,awesome product,5.0 out of 5 stars,"  wow...MI ,, recently i had purchased this camera its mind blowing device i was wondering the quality and performance this camera perfect camera for security purpose ,,, this camera does all the job accurately without any lagprospicture quality is awesomewe can control the camera sitting anywhereRotate how you wantsupport 64gm ms cardmotion detection is perfectly fineeasy to fixconsnight mode is not so goodotherwise never this camera its must buy product"
144,Dibyendu Mukherjee,High quality Pictures and Recordings.,5.0 out of 5 stars,"  Great product. Great finish. I have purchased a Strontium 64 GB Micro SDXC Card along with Mi 360 Camera. Very high quality pictures. High quality recording in full HD. Blue light on camera indicates that it's in recording mode. It keeps continuous recording till the SDXC Card is full. Thereafter, older videos get erased. Newer videos get recorded.  However for live telecast of recording on your mobile you need 4G connection. Even then, you must keep recording in normal mode in order to receive live video."
145,raju,value for your money.,5.0 out of 5 stars,"  Xiaomi's 360-degree security camera ticks all the right boxes when it comes to an affordable home monitoring solution. The installation needs a bit of work, but aside from that, you're getting a lot of value for your money."
146,sail,Amazing home security camera,5.0 out of 5 stars,  The equipment is an amazing camera with great Day and Night vision. Its application works fine and is very useful tool to monitor ur home when ur away. It has great recoding features. Great Value gir Money
147,Kunal,Zero for Packaging. Item is OK. Not so amazing.,3.0 out of 5 stars,"  It doesn't have complete 360 view. If mount this on wall horizontally, it stuck and don't give you complete view. Sound quality while call is very low. People arround the camera doesn't hear voice. They have to come very close to camera if you want to use it's call feature.Zero rating to vendor for packaging. No extra cover or box added to protect the item. I think vendor does not care about how this item shipped to customer."
148,UmapornKhami,Packing seals were broken on delivery. Returned,2.0 out of 5 stars,  Motion detection is somewhat slow. Notification is generated after 4-10 minutes after someone passes through.Night vision is fantastic. I will recommend this product to other customers.2 stars because the package arrived with all seals broken. Must have been returned by some other customer due to some issue.Hence I didn’t want to keep the item returned by some other customer due to some faults.
149,Ganesan,No two way talk,3.0 out of 5 stars,  I found this good in terms of features except two things below1. No two-way talk - The volume from the camera is not audiable and upon searching in google I found this seems to be an open issue and surprisingly I don't see this mentioned anywhere in the review.2. Bandwidth requirement - It needs a high speed dedicated bandwidth on both the side to control. Assume you are out of home and your 4G phone does not have enough speed it is really pathetic to control and see what is happening in the house. Also on the other side if the internet is shared by your other devices the same issue.I am mentioning this because I dont see this on any other's review.
150,Sriram,Awesome product..Really good,5.0 out of 5 stars,  Recently (16.7.2018) i bought this camera even after seeing lot of negative feedback in the reviews but to be frank this is such an awesome product for the money you are paying and it is works more than what i thought it will be .. the camera quality is superb and even in the night mode it works well .. and with audible two way speakers and there are lot of other features also.. I bought this product coz am having one year old son and me and wife won’t be in the home in the day time so i wanted to monitor child as well as my maid too.. now am happy that i can see my child activities from anywhere through Mi home app.. guys pls don’t worry about this product it is really really good ..all you need is good internet connection with a smart phone
